//X Y Z R G B PointSourceId ScanAngleRank ScanDirectionFlag NumberOfReturns ReturnNumber GpsTime Intensity
544494.44458008 258516.14868164 6.35999908 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942223 9336.000000
544494.88940430 258516.21508789 6.35299911 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942225 10429.000000
544495.33227539 258516.29125977 6.37399902 44 44 44 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942227 11457.000000
544495.77661133 258516.35961914 6.36899796 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942229 10213.000000
544496.21997070 258516.43383789 6.37900009 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942232 9436.000000
544496.66430664 258516.50024414 6.36500015 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942234 10064.000000
544497.10913086 258516.56665039 6.34799805 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942236 9593.000000
544497.55297852 258516.64086914 6.34999695 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942238 9558.000000
544497.99829102 258516.70336914 6.32199707 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942240 10433.000000
544498.44165039 258516.77563477 6.31699982 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942243 10264.000000
544498.88452148 258516.85375977 6.32799759 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942245 9434.000000
544499.32641602 258516.93774414 6.34899750 42 42 42 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942247 10928.000000
544499.76977539 258517.01196289 6.34599915 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942249 9711.000000
544500.21264648 258517.08618164 6.34299698 32 32 32 3739.000000 1.000000 1.000000 2.000000 2.000000 288938.942251 8330.000000
544500.65600586 258517.16430664 6.34299698 35 35 35 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942254 9114.000000
544491.55249023 258515.15258789 6.34799805 34 34 34 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952201 8892.000000
544491.99682617 258515.21899414 6.35399857 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952204 10020.000000
544492.44213867 258515.28344727 6.34999695 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952206 9336.000000
544492.88745117 258515.34399414 6.33599701 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952208 9591.000000
544493.33276367 258515.40649414 6.32399979 41 41 41 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952210 10557.000000
544493.77661133 258515.47680664 6.33499756 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952212 9698.000000
544494.22045898 258515.55102539 6.35100021 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952215 10344.000000
544494.66430664 258515.62133789 6.35800018 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952217 9667.000000
544495.10864258 258515.68969727 6.35699692 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952219 10440.000000
544495.55249023 258515.76196289 6.36199799 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952221 10433.000000
544495.99682617 258515.83032227 6.35599747 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952223 10229.000000
544496.44116211 258515.89868164 6.35100021 33 33 33 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952226 8661.000000
544496.88549805 258515.96704102 6.34299698 32 32 32 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952228 8423.000000
544497.32983398 258516.03735352 6.33299866 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952230 9707.000000
544497.77368164 258516.10766602 6.33199921 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952232 9691.000000
544498.21704102 258516.18188477 6.33399811 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952234 10162.000000
544498.66088867 258516.25219727 6.32300034 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952237 10027.000000
544499.10522461 258516.32446289 6.31299820 35 35 35 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952239 9020.000000
544499.54809570 258516.40063477 6.31899872 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952241 9804.000000
544499.99096680 258516.47875977 6.32399979 34 34 34 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952243 8734.000000
544500.43481445 258516.54907227 6.30799713 31 31 31 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952245 8063.000000
544500.87719727 258516.63110352 6.32099762 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.952248 10231.000000
544491.53588867 258514.52172852 6.33499756 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962193 10113.000000
544491.98071289 258514.59008789 6.34499969 42 42 42 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962195 10824.000000
544492.42602539 258514.65063477 6.33499756 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962198 9642.000000
544492.87133789 258514.71313477 6.32499924 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962200 9434.000000
544493.31616211 258514.77758789 6.32099762 43 43 43 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962202 11237.000000
544493.76098633 258514.84399414 6.31699982 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962204 9947.000000
544494.20532227 258514.91625977 6.33000031 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962206 10040.000000
544494.64819336 258514.99243164 6.35499802 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962209 9878.000000
544495.09301758 258515.05688477 6.34400024 34 34 34 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962211 8809.000000
544495.53833008 258515.12133789 6.32699814 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962213 10131.000000
544495.98168945 258515.19555664 6.33799973 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962215 9665.000000
544496.42456055 258515.27368164 6.35899963 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962217 10278.000000
544496.86987305 258515.33813477 6.34099808 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962220 10315.000000
544497.31469727 258515.40063477 6.31899872 41 41 41 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962222 10606.000000
544497.75903320 258515.47094727 6.31099930 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962224 9916.000000
544498.20288086 258515.54321289 6.30699768 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962226 9329.000000
544498.64721680 258515.61547852 6.30099716 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962228 10264.000000
544499.09057617 258515.68774414 6.29599991 34 34 34 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962231 8705.000000
544499.53344727 258515.76586914 6.30899658 35 35 35 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962233 9176.000000
544499.97680664 258515.84399414 6.31199875 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962235 9362.000000
544500.42065430 258515.91235352 6.29499664 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962237 9649.000000
544500.86254883 258515.99829102 6.31899872 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.962239 9869.000000
544491.28002930 258513.88110352 6.34400024 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972183 10235.000000
544491.72534180 258513.94165039 6.33700027 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972185 9698.000000
544492.16967773 258514.01196289 6.35299911 41 41 41 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972187 10531.000000
544492.61645508 258514.06469727 6.31899872 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972189 9649.000000
544493.05981445 258514.14086914 6.34699860 42 42 42 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972192 10895.000000
544493.50659180 258514.19555664 6.31299820 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972194 9913.000000
544493.95043945 258514.26782227 6.33000031 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972196 10158.000000
544494.39428711 258514.34008789 6.33899918 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972198 9442.000000
544494.83911133 258514.40649414 6.33399811 41 41 41 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972200 10502.000000
544495.28393555 258514.47290039 6.32799759 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972203 9516.000000
544495.72827148 258514.54125977 6.32699814 43 43 43 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972205 11082.000000
544496.17211914 258514.61352539 6.33099976 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972207 9780.000000
544496.61645508 258514.68188477 6.32799759 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972209 9518.000000
544497.06079102 258514.75219727 6.32399979 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972211 9745.000000
544497.50561523 258514.81860352 6.30899658 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972214 9573.000000
544497.94995117 258514.88891602 6.30299988 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972216 9305.000000
544498.39477539 258514.95532227 6.28299942 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972218 9620.000000
544498.83813477 258515.02954102 6.28399887 34 34 34 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972220 8880.000000
544499.28149414 258515.10766602 6.29299774 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972222 9622.000000
544499.72387695 258515.18774414 6.30599823 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972225 9234.000000
544500.16821289 258515.25610352 6.28999939 35 35 35 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972227 9127.000000
544500.61157227 258515.33227539 6.28999939 34 34 34 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.972229 8849.000000
544491.54028320 258513.38891602 6.34799805 42 42 42 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982175 10904.000000
544491.98608398 258513.44750977 6.33499756 42 42 42 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982177 10977.000000
544492.43139648 258513.51000977 6.33000031 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982179 10298.000000
544492.87719727 258513.57055664 6.31499710 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982181 10029.000000
544493.32104492 258513.64086914 6.32599869 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982183 9505.000000
544493.76635742 258513.70336914 6.31699982 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982186 9729.000000
544494.21020508 258513.77758789 6.33399811 41 41 41 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982188 10597.000000
544494.65454102 258513.84399414 6.33199921 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982190 10058.000000
544495.09887695 258513.91430664 6.33599701 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982192 9929.000000
544495.54418945 258513.97875977 6.32300034 35 35 35 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982194 9005.000000
544495.98901367 258514.04321289 6.31099930 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982197 10207.000000
544496.43334961 258514.11352539 6.31099930 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982199 9405.000000
544496.87768555 258514.18188477 6.30199661 41 41 41 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982201 10666.000000
544497.32202148 258514.25415039 6.30099716 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982203 9962.000000
544497.76635742 258514.32055664 6.28899994 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982205 9234.000000
544498.21069336 258514.39086914 6.28199997 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982208 9573.000000
544498.65405273 258514.46704102 6.28799667 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982210 9287.000000
544499.09790039 258514.53930664 6.28299942 35 35 35 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982212 8963.000000
544499.54125977 258514.61547852 6.28999939 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982214 10058.000000
544499.98510742 258514.68774414 6.28199997 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982216 9678.000000
544500.42797852 258514.76391602 6.28299942 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982219 10331.000000
544500.87231445 258514.83618164 6.26999893 32 32 32 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.982221 8261.000000
544491.21557617 258512.78735352 6.34499969 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992164 9462.000000
544491.66186523 258512.84204102 6.31600037 43 43 43 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992166 11059.000000
544492.10668945 258512.90844727 6.32399979 41 41 41 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992169 10591.000000
544492.55151367 258512.97485352 6.32799759 33 33 33 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992171 8563.000000
544492.99584961 258513.04321289 6.33899918 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992173 9976.000000
544493.44311523 258513.09399414 6.29799881 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992175 10153.000000
544493.88647461 258513.16821289 6.31899872 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992177 9844.000000
544494.33081055 258513.23657227 6.32099762 33 33 33 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992180 8481.000000
544494.77514648 258513.30493164 6.32599869 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992182 9758.000000
544495.22143555 258513.36352539 6.29799881 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992184 10291.000000
544495.66430664 258513.44165039 6.32399979 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992186 9760.000000
544496.11010742 258513.50219727 6.29499664 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992188 9789.000000
544496.55346680 258513.57641602 6.30799713 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992191 9638.000000
544496.99780273 258513.64672852 6.30699768 34 34 34 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992193 8885.000000
544497.44360352 258513.70727539 6.27699890 34 34 34 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992195 8936.000000
544497.88696289 258513.78149414 6.28399887 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992197 10389.000000
544498.33032227 258513.85766602 6.28899994 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992199 9769.000000
544498.77368164 258513.93188477 6.29299774 41 41 41 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992202 10504.000000
544499.21752930 258514.00610352 6.29399719 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992204 9409.000000
544499.66088867 258514.07836914 6.28699722 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992206 10275.000000
544500.10375977 258514.15844727 6.30199661 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992208 9274.000000
544500.54858398 258514.22485352 6.27500000 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.992210 9418.000000
544491.15551758 258512.18188477 6.30199661 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002156 10371.000000
544491.59936523 258512.25024414 6.31899872 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002158 9747.000000
544492.04614258 258512.30493164 6.29199829 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002160 10431.000000
544492.48999023 258512.37719727 6.31399765 34 34 34 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002163 8712.000000
544492.93530273 258512.43969727 6.30599823 35 35 35 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002165 9163.000000
544493.38012695 258512.50610352 6.31099930 34 34 34 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002167 8872.000000
544493.82446289 258512.57446289 6.31499710 33 33 33 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002169 8581.000000
544494.26977539 258512.63500977 6.29699936 33 33 33 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002171 8461.000000
544494.71411133 258512.70532227 6.30699768 35 35 35 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002174 9165.000000
544495.15844727 258512.77368164 6.30599823 34 34 34 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002176 8863.000000
544495.60229492 258512.84399414 6.31399765 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002178 9631.000000
544496.04711914 258512.91040039 6.30299988 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002180 9625.000000
544496.49340820 258512.96704102 6.26899948 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002182 9833.000000
544496.93627930 258513.04516602 6.28999939 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002185 10495.000000
544497.37963867 258513.11938477 6.29599991 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002187 9889.000000
544497.82397461 258513.18969727 6.29299774 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002189 9673.000000
544498.26879883 258513.25610352 6.27699890 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002191 10460.000000
544498.71069336 258513.34008789 6.30599823 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002193 10411.000000
544499.15502930 258513.40649414 6.28899994 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002196 9220.000000
544499.59887695 258513.47875977 6.28499832 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002198 9953.000000
544500.04174805 258513.55883789 6.29599991 33 33 33 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002200 8652.000000
544500.48559570 258513.62915039 6.28199997 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002202 9456.000000
544500.92846680 258513.70532227 6.28499832 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.002204 9953.000000
544491.34252930 258511.65454102 6.28499832 35 35 35 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.012150 9209.000000
544491.78735352 258511.72094727 6.28999939 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.012152 10318.000000
544492.23168945 258511.79125977 6.30899658 41 41 41 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.012155 10733.000000
544492.67749023 258511.84790039 6.28699722 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.012157 9867.000000
544493.12182617 258511.91821289 6.30499878 43 43 43 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.012159 11111.000000
544493.56713867 258511.98071289 6.29299774 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.012161 10218.000000
544494.01098633 258512.05102539 6.30599823 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.012163 9287.000000
544494.45532227 258512.12133789 6.31600037 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.012165 9698.000000
544494.90014648 258512.18383789 6.30499878 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.012168 10298.000000
544495.34497070 258512.25024414 6.29899826 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.012170 9702.000000
544495.78979492 258512.31665039 6.29199829 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.012172 10238.000000
544496.23315430 258512.39282227 6.30799713 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.012174 9511.000000
544496.67797852 258512.45532227 6.29199829 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.012176 10091.000000
544497.12329102 258512.51782227 6.26800003 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.012179 9789.000000
544497.56567383 258512.59985352 6.29799881 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.012181 10484.000000
544498.01098633 258512.66430664 6.27699890 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.012183 9609.000000
544498.45434570 258512.73657227 6.27699890 35 35 35 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.012185 9034.000000
544498.89819336 258512.80883789 6.27399673 41 41 41 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.012187 10506.000000
544499.34106445 258512.88696289 6.28499832 41 41 41 3739.000000 1.000000 1.000000 1.000000 1.000000 288939.012190 10633.000000
