// X Y Z Original_cloud_index LIntensity dZVariance ScanAngleRank EchoRatio
17689.983994 222309.494995 803.409973 0.000000 10.000000 0.136076 101.000000 54.237289
17689.945007 222313.096985 802.890015 0.000000 310.000000 0.000162 101.000000 100.000000
17689.880005 222312.768005 802.900024 0.000000 330.000000 0.000359 101.000000 100.000000
17689.802994 222312.408997 802.909973 0.000000 289.000000 0.000699 101.000000 100.000000
17689.737000 222312.040009 802.900024 0.000000 339.000000 0.001096 101.000000 100.000000
17689.660995 222311.700989 802.900024 0.000000 340.000000 0.005563 101.000000 90.789474
17689.595001 222311.332001 802.900024 0.000000 316.000000 0.007606 101.000000 85.000000
17689.518997 222310.972992 802.900024 0.000000 311.000000 0.018669 101.000000 77.272728
