// X Y Z R G B Original_cloud_index PIntensity
17646.885948 222703.683960 788.015001 59 65 77 0.000000 12180.000000
17646.737946 222703.549072 788.030000 61 69 80 0.000000 13600.000000
17646.976944 222703.820068 788.096998 55 63 74 0.000000 11276.000000
17646.671944 222703.453003 788.045999 59 67 78 0.000000 11276.000000
17646.985947 222703.848022 788.088998 55 63 74 0.000000 10373.000000
17646.875946 222703.731934 788.045999 59 68 77 0.000000 10371.000000
17646.679947 222703.401001 788.047998 65 75 85 0.000000 10372.000000
17646.309952 222695.107056 782.621999 113 96 104 0.000000 44691.000000
